"","Player","Team","Age","Overall"
"602","Corey Jordan","Bournemouth",18,59
"603","Adam King","Swansea City",21,59
"604","Luke Amos","Tottenham Hotspur",20,59
"605","Darnell Johnson","Leicester City",18,59
"606","Ollie Harfield","Bournemouth",19,59
"607","Kyle Scott","Chelsea",19,58
"608","Matty Foulds","Everton",19,58
"609","Layton Ndukwu","Leicester City",18,58
"610","Dara O'Shea","West Bromwich Albion",18,58
"611","Max Melbourne","West Bromwich Albion",18,58
"612","James Tilley","Brighton & Hove Albion",19,58
"613","Joe Rodon","Swansea City",19,58
"614","Will Wood","Southampton",20,58
"615","Anthony Georgiou","Tottenham Hotspur",20,58
"616","Christian Maghoma","Tottenham Hotspur",19,58
"617","Dan Kemp","West Ham United",18,58
"618","Admiral Muskwe","Leicester City",18,58
"619","Jonjoe Kenny","Everton",20,57
"620","Nathan Trott","West Ham United",18,57
"621","Harry Flowers","Burnley",21,57
"622","Tinashe Chakwana","Burnley",18,57
"623","Nya Kirby","Crystal Palace",17,57
"624","Robbie McCourt","West Bromwich Albion",19,57
"625","Alex Jakubiak","Watford",20,57
"626","Harry Limb","Burnley",17,57
"627","Matt Worthington","Bournemouth",19,57
"628","Tunji Akinola","West Ham United",18,56
"629","Ben Hall","Brighton & Hove Albion",20,56
"630","Tahvon Campbell","West Bromwich Albion",20,56
"631","Arlen Birch","Burnley",20,56
"632","Faiq Bolkiah","Leicester City",19,55
"633","Alex Palmer","West Bromwich Albion",20,55
"634","Evan Pierce","West Bromwich Albion",18,55
"635","Robert Lynch Sanchez","Brighton & Hove Albion",19,55
"636","Robbie Leitch","Burnley",19,55
"637","Khius Metz","Burnley",19,54
"638","Mark Howarth","Burnley",18,54
"639","Rahis Nabi","Burnley",18,54
"640","Jason Lokilo","Crystal Palace",18,54
"641","Mark Waddington","Stoke City",20,54
"642","Jason Davis","Brighton & Hove Albion",20,54
"643","William Miller","Tottenham Hotspur",21,54
"644","Joe Pritchard","Tottenham Hotspur",20,54
"645","George Byers","Swansea City",21,54
"646","Kazaiah Sterling","Tottenham Hotspur",18,53
"647","Desmond Hutchinson","Brighton & Hove Albion",20,53
"648","Ryan Schofield","Huddersfield Town",17,53
"649","Rarmani Edmonds-Green","Huddersfield Town",18,53
"650","Regan Booty","Huddersfield Town",19,53
"651","Danny Kane","Huddersfield Town",20,53
"652","Samuel Shashoua","Tottenham Hotspur",18,52
"653","Alfie Whiteman","Tottenham Hotspur",18,52
"654","Kleton Perntreou","Crystal Palace",22,52
"655","Jack Boyle","Huddersfield Town",19,52
"656","Tadhg Ryan","Huddersfield Town",20,52
"657","Kane Wilson","West Bromwich Albion",17,52
"658","Brandon Austin","Tottenham Hotspur",18,50
"659","Ethan Ross","West Bromwich Albion",20,50
"660","Carl Stewart","Watford",20,48
