"","Player","Team","Age","Overall"
"586","Josh Benson","Burnley",19,62
"587","Nnamdi Ofoborh","Bournemouth",19,62
"588","Alex Dobre","Bournemouth",20,62
"589","Curtis Jones","Liverpool",18,61
"590","Lorenzo Gonzalez","Manchester City",19,61
"591","Alexandru Paşcanu","Leicester City",20,61
"592","Aidan Fitzpatrick","Norwich City",18,61
"593","Jamie Sterry","Newcastle United",23,61
"594","Kayne Ramsay","Southampton",18,61
"595","Nathan Holland","West Ham United",21,61
"596","Kyle Taylor","Bournemouth",19,61
"597","Paul Glatzel","Liverpool",18,60
"598","Callum O'Hare","Aston Villa",21,60
"599","Gassan Ahadme","Norwich City",18,60
"600","Adam Lewis","Liverpool",19,60
"601","James Tilley","Brighton & Hove Albion",21,60
"602","Benjamín Garré","Manchester City",18,60
"603","Joel Latibeaudiere","Manchester City",19,60
"604","Marcus Barnes","Southampton",22,60
"605","Max Kilman","Wolverhampton Wanderers",22,60
"606","Bruno André Cavaco Jordão","Wolverhampton Wanderers",20,60
"607","John Kitolano","Wolverhampton Wanderers",19,60
"608","Ali Koiki","Burnley",19,60
"609","Matt Butcher","Bournemouth",22,60
"610","Yasser Larouci","Liverpool",18,59
"611","Gavin Bazunu","Manchester City",17,59
"612","Jamie Bowden","Tottenham Hotspur",17,59
"613","Josh Martin","Norwich City",17,59
"614","Caoimhin Kelleher","Liverpool",20,59
"615","James Daly","Crystal Palace",19,59
"616","Tyler Cordner","Bournemouth",20,59
"617","Daniel Adshead","Norwich City",17,59
"618","Luke Dreher","Crystal Palace",20,59
"619","Nya Kirby","Crystal Palace",19,59
"620","Mésaque Geremias Djú","West Ham United",20,58
"621","Timi Odusina","Norwich City",19,58
"622","Joe Powell","West Ham United",20,58
"623","Conor Coventry","West Ham United",19,58
"624","Oskar Buur Rasmussen","Wolverhampton Wanderers",21,58
"625","Giovanni McGregor","Crystal Palace",20,58
"626","Kian Flanagan","Crystal Palace",19,58
"627","Jason Lokilo","Crystal Palace",20,58
"628","Max Sanders","Brighton & Hove Albion",20,58
"629","Robbie Burton","Arsenal",19,57
"630","Rob Nizet","Norwich City",17,57
"631","Robert Harker","Burnley",19,57
"632","Jake Vokins","Southampton",19,57
"633","Dan Kemp","West Ham United",20,57
"634","Oladapo Afolayan","West Ham United",21,57
"635","Tom Dele-Bashiru","Watford",19,57
"636","Ryan Cooney","Burnley",19,57
"637","Sam Woods","Crystal Palace",20,57
"638","Tyreece John-Jules","Arsenal",18,56
"639","Tyreke Wilson","Manchester City",19,56
"640","Dominic Revan","Aston Villa",18,56
"641","Dion Sanderson","Wolverhampton Wanderers",19,56
"642","Steven Alzate","Brighton & Hove Albion",20,56
"643","Owen Bailey","Newcastle United",20,56
"644","Stephen Mallon","Sheffield United",20,56
"645","Anthony Driscoll-Glennon","Burnley",19,56
"646","Easah Suliman","Aston Villa",21,55
"647","Ben Johnson","West Ham United",19,55
"648","Taylor Perry","Wolverhampton Wanderers",17,55
"649","Akin Famewo","Norwich City",20,55
"650","Daniel Grimshaw","Manchester City",21,55
"651","Nikola Tavares","Crystal Palace",20,55
"652","Jack Clarke","Aston Villa",20,54
"653","Jamie Cumming","Chelsea",19,54
"654","Keenan Ferguson","Sheffield United",19,54
"655","Jordan Cox","Aston Villa",20,53
"656","Jacob Ramsey","Aston Villa",18,53
"657","Marcus Dewhurst","Sheffield United",18,53
"658","George McMahon","Burnley",19,53
"659","Callum Rowe","Aston Villa",19,52
"660","Jake Young","Sheffield United",17,51
