"","Player","Team","Age","Overall"
"306","Jonas Lössl","Everton",30,75
"307","Mason Holgate","Everton",22,75
"308","Oliver Norwood","Sheffield United",28,75
"309","Yannick Bolasie","Everton",30,75
"310","Martin Kelly","Crystal Palace",29,75
"311","Artur Boruc","Bournemouth",39,75
"312","Andrew Surman","Bournemouth",32,75
"313","Simon Francis","Bournemouth",34,75
"314","José Diogo Dalot Teixeira","Manchester United",20,75
"315","Matteo Darmian","Manchester United",29,75
"316","Paul Dummett","Newcastle United",27,75
"317","Matt Ritchie","Newcastle United",29,75
"318","Jetro Willems","Newcastle United
Jun 30, ",25,75
"319","Ciaran Clark","Newcastle United",29,75
"320","Yoshinori Mutō","Newcastle United",26,75
"321","Andy Carroll","Newcastle United",30,75
"322","Stuart Armstrong","Southampton",27,75
"323","Wesley Hoedt","Southampton",25,75
"324","Guido Carrillo","Southampton",28,75
"325","Ryan Sessegnon","Tottenham Hotspur",19,75
"326","Pablo Zabaleta","West Ham United",34,75
"327","Carlos Sánchez","West Ham United",33,75
"328","Demarai Gray","Leicester City",23,75
"329","Wes Morgan","Leicester City",35,75
"330","Harvey Barnes","Leicester City",21,75
"331","Josip Drmić","Norwich City",26,75
"332","Dean Henderson","Sheffield United
Jun 30, ",22,75
"333","Craig Dawson","Watford",29,75
"334","Nathaniel Chalobah","Watford",24,75
"335","Adrian Mariappa","Watford",32,75
"336","Stefano Okaka","Watford",29,75
"337","Juan Camilo Hernández","Watford",20,75
"338","Matthew Lowton","Burnley",30,75
"339","Jeff Hendrick","Burnley",27,75
"340","Scott Dann","Crystal Palace",32,75
"341","Christian Benteke","Crystal Palace",28,75
"342","Wayne Hennessey","Crystal Palace",32,75
"343","James McCarthy","Crystal Palace",28,75
"344","Jordan Ayew","Crystal Palace",27,75
"345","Solly March","Brighton & Hove Albion",24,75
"346","Neal Maupay","Brighton & Hove Albion",22,75
"347","Bernardo Fernandes","Brighton & Hove Albion",24,75
"348","Yves Bissouma","Brighton & Hove Albion",22,75
"349","Alireza Jahanbakhsh","Brighton & Hove Albion",25,75
"350","Harry Wilson","Bournemouth
Jun 30, ",22,75
"351","Junior Stanislas","Bournemouth",29,75
"352","Asmir Begović","Bournemouth",32,75
"353","Dan Gosling","Bournemouth",29,75
"354","Conor Hourihane","Aston Villa",28,74
"355","Abdul Rahman Baba","Chelsea",24,74
"356","Tyrone Mings","Aston Villa",26,74
"357","Anwar El Ghazi","Aston Villa",24,74
"358","Douglas Luiz Soares de Paulo","Aston Villa",21,74
"359","James Chester","Aston Villa",30,74
"360","Callum Hudson-Odoi","Chelsea",18,74
"361","John Egan","Sheffield United",26,74
"362","Aleix García Serrano","Manchester City",22,74
"363","Javier Manquillo Gaitán","Newcastle United",25,74
"364","Emil Krafth","Newcastle United",24,74
"365","Christian Atsu","Newcastle United",27,74
"366","Henri Saivet","Newcastle United",28,74
"367","Jack Stephens","Southampton",25,74
"368","Shane Long","Southampton",32,74
"369","Che Adams","Southampton",22,74
"370","Moussa Djenepo","Southampton",21,74
"371","Kyle Walker-Peters","Tottenham Hotspur",22,74
"372","Juan Foyth","Tottenham Hotspur",21,74
